Дата,T
2018-05-05,4
2018-05-05,3
2018-05-05,3
2018-05-05,8
2018-05-06,3
2018-05-06,4
2018-05-06,5
2018-05-06,4
2018-05-06,0.3
2018-05-06,-1.2
2018-05-06,-1.7
2018-05-06,0.1
2018-05-07,9
2018-05-07,9
2018-05-07,9
2018-05-07,9
2018-05-07,8
2018-05-07,5
2018-05-07,1
2018-05-07,1
2018-05-08,7
2018-05-08,10
2018-05-08,13
2018-05-08,15
2018-05-08,13
2018-05-08,8
2018-05-08,7
2018-05-08,7
2018-05-09,7
2018-05-09,8
2018-05-09,11
2018-05-09,10
2018-05-09,8
2018-05-09,4
2018-05-09,4
2018-05-09,5
2018-05-10,15
2018-05-10,15
2018-05-10,17
2018-05-10,17
2018-05-10,13
2018-05-10,8
2018-05-10,4
2018-05-10,5
2018-05-11,9
2018-05-11,10
2018-05-11,12
2018-05-11,14
2018-05-11,13
2018-05-11,11
2018-05-11,12
2018-05-11,13
2018-05-12,10
2018-05-12,12
2018-05-12,12
2018-05-12,12
2018-05-12,10
2018-05-12,7
2018-05-12,4
2018-05-12,8
2018-05-13,4
2018-05-13,7
2018-05-13,8
2018-05-13,8
2018-05-13,6
2018-05-13,2
2018-05-13,1
2018-05-13,4
2018-05-14,11
2018-05-14,13
2018-05-14,15
2018-05-14,14
2018-05-14,11
2018-05-14,8
2018-05-14,0.9
2018-05-14,1
2018-05-15,7
2018-05-15,10
2018-05-15,12
2018-05-15,11
2018-05-15,9
2018-05-15,6
2018-05-15,6
2018-05-15,11
2018-05-16,4
2018-05-16,10
2018-05-16,16
2018-05-16,19
2018-05-16,18
2018-05-16,11
2018-05-16,6
2018-05-16,6
2018-05-17,5
2018-05-17,7
2018-05-17,9
2018-05-17,7
2018-05-17,5
2018-05-17,3
2018-05-17,2
2018-05-17,3
2018-05-18,6
2018-05-18,11
2018-05-18,17
2018-05-18,17
2018-05-18,13
2018-05-18,9
2018-05-18,3
2018-05-18,4
2018-05-19,9
2018-05-19,11
2018-05-19,13
2018-05-19,11
2018-05-19,8
2018-05-19,3
2018-05-19,-0.3
2018-05-19,2
2018-05-20,17
2018-05-20,19
2018-05-20,21
2018-05-20,20
2018-05-20,15
2018-05-20,9
2018-05-20,6
2018-05-20,7
2018-05-21,19
2018-05-21,23
2018-05-21,27
2018-05-21,26
2018-05-21,24
2018-05-21,18
2018-05-21,11
2018-05-21,13
2018-05-22,8
2018-05-22,10
2018-05-22,10
2018-05-22,12
2018-05-22,23
2018-05-22,19
2018-05-22,16
2018-05-22,16
2018-05-23,5
2018-05-23,10
2018-05-23,11
2018-05-23,9
2018-05-23,6
2018-05-23,5
2018-05-23,5
2018-05-23,9
2018-05-24,16
2018-05-24,17
2018-05-24,13
2018-05-24,15
2018-05-24,15
2018-05-24,10
2018-05-24,3
2018-05-24,3
2018-05-25,18
2018-05-25,20
2018-05-25,28
2018-05-25,27
2018-05-25,23
2018-05-25,17
2018-05-25,13
2018-05-25,15
2018-05-26,10
2018-05-26,22
2018-05-26,30.2
2018-05-26,29
2018-05-26,27
2018-05-26,21
2018-05-26,15
2018-05-26,16
2018-05-27,2
2018-05-27,2
2018-05-27,2
2018-05-27,2
2018-05-27,4
2018-05-27,5
2018-05-28,13
2018-05-28,16
2018-05-28,19
2018-05-28,19
2018-05-28,15
2018-05-28,9
2018-05-28,-0.2
2018-05-28,1
2018-05-29,9
2018-05-29,12
2018-05-29,16
2018-05-29,18
2018-05-29,14
2018-05-29,11
2018-05-29,11
2018-05-29,12
2018-05-30,8
2018-05-30,8
2018-05-30,8
2018-05-30,10
2018-05-30,11
2018-05-30,8
2018-05-30,6
2018-05-30,7
2018-05-31,16
2018-05-31,18
2018-05-31,20
2018-05-31,20
2018-05-31,14
2018-05-31,10
2018-05-31,5
2018-05-31,5
2018-06-01,19
2018-06-01,22
2018-06-01,25
2018-06-01,25
2018-06-01,22
2018-06-01,17
2018-06-01,12
2018-06-01,14
2018-06-02,7
2018-06-02,11
2018-06-02,15
2018-06-02,14
2018-06-02,17
2018-06-02,17
2018-06-02,16
2018-06-02,17
2018-06-03,12
2018-06-03,13
2018-06-03,13
2018-06-03,11
2018-06-03,9
2018-06-03,5
2018-06-03,4
2018-06-03,5
2018-06-04,16
2018-06-04,16
2018-06-04,20
2018-06-04,18
2018-06-04,15
2018-06-04,11
2018-06-04,6
2018-06-04,10
2018-06-05,20
2018-06-05,22
2018-06-05,26
2018-06-05,25
2018-06-05,24
2018-06-05,19
2018-06-05,13
2018-06-05,14
2018-06-06,20
2018-06-06,27
2018-06-06,30
2018-06-06,29
2018-06-06,29
2018-06-06,21
2018-06-06,17
2018-06-06,18
2018-06-07,24
2018-06-07,28
2018-06-07,31.2
2018-06-07,32.4
2018-06-07,28
2018-06-07,22
2018-06-07,19
2018-06-07,18
2018-06-08,15
2018-06-08,16
2018-06-08,22
2018-06-08,27
2018-06-08,23
2018-06-08,22
2018-06-08,18
2018-06-08,20
2018-06-09,11
2018-06-09,13
2018-06-09,17
2018-06-09,15
2018-06-09,14
2018-06-09,13
2018-06-09,11
2018-06-09,14
2018-06-10,15
2018-06-10,19
2018-06-10,20
2018-06-10,21
2018-06-10,19
2018-06-10,15
2018-06-10,9
2018-06-10,10
2018-06-11,20
2018-06-11,22
